,file,speaker,sentence,lang
0,citizen_sub_8a19a,LETTER,"Représenté dans Ville-Marie et Le Sud-Ouest Développement de la Ville à partir du réseau de transport collectif, déplacements actifs, les familles en ville, la ville aux citoyensCritique et proposition d’alternative au projet de réaménagement de l’autoroute",fr
1,citizen_sub_8a19a,LETTER,Mémoire présenté à l’Office de consultation publique de MontréalLe projet de la SHM •,fr
2,citizen_sub_8a19a,LETTER,Une autoroute rabaissée au sol : 58 000 véhicules/jour •,fr
3,citizen_sub_8a19a,LETTER,Une reconstruction du lien routier entre le pont Champlain et le centre-ville de Montréal • Besoins de déplacements matin et soir de la Rive-Sud et de l’Île-des-Soeurs,fr
4,citizen_sub_8a19a,LETTER,• Transport collectif par autobus alors que le transfert modal est déjà effectué à 63 % •,fr
5,citizen_sub_8a19a,LETTER,Aberration d’un corridor d’autobus en milieu résidentiel,fr
6,citizen_sub_8a19a,LETTER,• Toujours la même vision des années 60 d’un développement de la ville à partir de ses routes • Toujours dans la dépendance à l’automobile malgré le Plan de Transport de Montréal • A l’,fr
7,citizen_sub_8a19a,LETTER,de la hausse du prix du pétrole et des changements climatiques,fr
8,citizen_sub_8a19a,LETTER,Piètre projetCoût du projet de la SHM •,fr
9,citizen_sub_8a19a,LETTER,"La participation de la Ville dans la phase 1 est passée de 90 M$ en 2007 à 141,7 M$ en 2009 soit une hausse de 57%.",fr
10,citizen_sub_8a19a,LETTER,"Cette majoration de 57% sur les 3 phases font passer le projet de la SHM estimé à 768 M$ en 2007 à 1,2 milliards $ aujourd’hui.",fr
11,citizen_sub_8a19a,LETTER,"Le tunnel sous le Viaduc du CN (payé par l’AMT) coûtera de 15 à 20 M$. Le projet de corridor sur la rue Dalhousie est passé de 84 à 118 M$.Coût du projet SHM-AMT • La totalité du projet SHM (3 phases) représente 1,2 milliard $ •",fr
12,citizen_sub_8a19a,LETTER,"Le projet de SLR de l’AMT est évalué à 1,3 milliard $",fr
13,citizen_sub_8a19a,LETTER,"Un total de 2,5 milliards $Impacts du projet de la SHM • 1300 autobus/jour sur Dalhousie • Impacts sur le patrimoine bâti",fr
14,citizen_sub_8a19a,LETTER,Intégration urbanistique du projet (développement Nord-Sud/Est-Ouest),fr
15,citizen_sub_8a19a,LETTER,• Pas de lien avec l’histoire de Griffintown •,fr
16,citizen_sub_8a19a,LETTER,"Accessibilité des logements (coût, usage familial, sécurité etc…)Proposition de Projet",fr
17,citizen_sub_8a19a,LETTER,Transit Oriented Development • Pour favoriser le transfert modal de l’auto vers le transport en commun,fr
18,citizen_sub_8a19a,LETTER,• Réduire les avantages de l’auto et améliorer l’offre quantitative et qualitative du transport en commun3 propositions de Projet,fr
19,citizen_sub_8a19a,LETTER,Démolir réellement l’autoroute Bonaventure 2),fr
20,citizen_sub_8a19a,LETTER,Un tramway reliant le bassin Peel au boul.,en
21,citizen_sub_8a19a,LETTER,Taschereau via le pont Victoria et un dans Pointe-Saint-Charles reliant l’îledes,fr
22,citizen_sub_8a19a,LETTER,Renoncer à l’approche affairiste de la Ville au profit d’un véritable projet d’aménagement urbain1),fr
23,citizen_sub_8a19a,LETTER,Un parc de 800 m de long à la place de l’autoroute Bonaventure2),fr
24,citizen_sub_8a19a,LETTER,Un tramway reliant le bassin Peel au boul.,en
25,citizen_sub_8a19a,LETTER,Taschereau via le pont Victoria et reliant l’île-des-Sœurs par le boulevard Marc Cantin au Sud de Pointe-Saint-Charles3),fr
26,citizen_sub_8a19a,LETTER,Renoncer à l’approche affairiste de la Ville au profit d’un projet urbain •,fr
27,citizen_sub_8a19a,LETTER,Hôtel: reste-t-il un marché pour un hôtel ?,fr
28,citizen_sub_8a19a,LETTER,• Espaces de bureauxCoût de l’alternative Projet,fr
29,citizen_sub_8a19a,LETTER,Du métro Peel au terminus Chevrier : entre 500 et 600 M$ • Démolition de l’autoroute Bonaventure et création d’un parc entre 180 et 200,fr
30,citizen_sub_8a19a,LETTER,"800 M$ • Plus de 1,5 milliard de fonds publics économiséConclusion",fr
31,citizen_sub_8a19a,LETTER,• NON à une autoroute ramenée au sol •,fr
32,citizen_sub_8a19a,LETTER,NON à un corridor d’autobus rétrograde • OUI au tramway comme armature principale du développement urbain • OUI à un quartier Griffintown est-ouest en reconstruction • NON à l’approche mercantile de la VilleAilleurs dans le monde,fr
