,file,speaker,sentence,lang
0,citizen_sub_8a1a,LETTER,Remise de la mémoire à L’Office de Consultation Publique de Montréal 28 Décembre 2009,fr
1,citizen_sub_8a1a,LETTER,Mariano VentrescaSystème de transport urbain sur rail,fr
2,citizen_sub_8a1a,LETTER,Tramway du Havre • Tram-TrainTABLE DES MATIÈRES,en
3,citizen_sub_8a1a,LETTER,Le tramway du Havre La première solution –,fr
4,citizen_sub_8a1a,LETTER,Le tram-train de Lachine –,fr
5,citizen_sub_8a1a,LETTER,Le tram-train de Brossard vers le centre-ville de Montréal –,fr
6,citizen_sub_8a1a,LETTER,Le tram-train de Lachine –,fr
7,citizen_sub_8a1a,LETTER,Le tram-train de Brossard vers le centre-ville de Montréal –,fr
8,citizen_sub_8a1a,LETTER,– Liste des villes américaines et canadiennes – avec un système de tram-trainIntroduction,fr
9,citizen_sub_8a1a,LETTER,Le projet du réaménagement de l’autoroute Bonaventure sera le moment idéal pour implanter le retour d’un système de tramway à Montréal.,fr
10,citizen_sub_8a1a,LETTER,Il y’a présentement dans le projet du Havre l’implantation d’un système de tramway qui utilisera la voie ferroviaire du côté sud de la rue de la Commune.,fr
11,citizen_sub_8a1a,LETTER,"Il sera intéressant que les autorités de la ville de Montréal incluant le promoteur de se projet, se met en accord pour la réalisation de cette ligne de tramway.",fr
12,citizen_sub_8a1a,LETTER,Le trajet du tramway du Havre correspond presque identiquement au trajet de la ligne autobus 515.• Les deux projets de tram-trains ci-dessous pourront circuler sur la voie de tramway urbaine de la rue Peel pour un accès plus rapide vers le centre-ville de Montréal.,fr
13,citizen_sub_8a1a,LETTER,Le tram-train de l’arrondissement de Lachine vers le centre-ville de Montréal.,fr
14,citizen_sub_8a1a,LETTER,Le tram-train de la ville de Brossard vers le centre-ville de Montréal.,fr
15,citizen_sub_8a1a,LETTER,"• Comme le tramway et le tram-train auront des planchers bas, ils pourront faire descendre ou monter les passagers à partir d’un simple trottoir.• Le tram-train est un véhicule idéal pour l’île de Montréal.",fr
16,citizen_sub_8a1a,LETTER,Il permet à un citoyen qui demeurer dans un arrondissement éloigné et une ville banlieusarde d’accéder rapidement au centre-ville.,fr
17,citizen_sub_8a1a,LETTER,Il élimine quelques correspondances entre les transporteurs publics et aussi les problèmes de stationnements.,fr
18,citizen_sub_8a1a,LETTER,Définition du terme tram-train et pré-métro Tram,fr
19,citizen_sub_8a1a,LETTER,"Le tram-train est un nouveau mode de transport en commun, apparu en 1992.",fr
20,citizen_sub_8a1a,LETTER,Ce concept consiste à offrir un mode de transport qui circule aussi bien sur le Réseau Ferroviaire National (RFN) que sur les voies urbaines d'un tramway ferré.,fr
