,file,speaker,sentence,lang
0,citizen_sub_8a6,LETTER,OFFICE DE CONSULTATION PUBLIQUE DE MONTRÉAL Consultation sur la phase 1 du démantèlement de l’autoroute Bonaventure,fr
1,citizen_sub_8a6,LETTER,Mémoire présenté par la Société du Vieux-Port de Montréal Janvier 2010Madame la présidente,fr
2,citizen_sub_8a6,LETTER,", Présentation orale par : Madame Claude Benoît, Présidente et Chef de la direction de la Société du Vieux-Port de Montréal.",fr
3,citizen_sub_8a6,LETTER,La Société du Vieux-Port de Montréal existe depuis maintenant plus de 25 ans avec le mandat de développer et de promouvoir le territoire du Vieux-Port de Montréal.,fr
4,citizen_sub_8a6,LETTER,"Dans le cadre de la réalisation de son mandat la Société vise à améliorer les conditions de vie urbaine et faciliter l’accès du public au bord de l’eau, sauvegarder et promouvoir le patrimoine culturel canadien et contribuer aux efforts de développement économique de la ville de Montréal.",fr
5,citizen_sub_8a6,LETTER,La société du Vieux-Port de Montréal constitue une composante essentielle de la revitalisation du quartier historique et du secteur riverain du centre-ville.,fr
6,citizen_sub_8a6,LETTER,"Le projet du démantèlement de l’autoroute Bonaventure initiant ainsi la création d’un tout nouveau quartier situé non loin du Vieux-Port de Montréal, tel qu’annoncé par la Société du Havre de Montréal, nous intéresse au plus haut point, notamment pour le retissage urbain qu’il propose.",fr
7,citizen_sub_8a6,LETTER,"Le Quartier Bonaventure constitue une composante essentielle de la revitalisation du quartier historique, entreprise il y a vingt-cinq ans par la requalification du territoire du Vieux-Port de Montréal, et du secteur riverain du centre-ville de Montréal.",fr
8,citizen_sub_8a6,LETTER,"Comme le Quartier International, ou encore d’autres projets inspirants sur le territoire de la Ville de Montréal, il est ici question d’une forme de reconstruction, qui permet de retrouver des fonctions vitales pour le sud du centre-ville.",fr
9,citizen_sub_8a6,LETTER,"Les grands axes routiers et ferroviaires sont comme des artères, qui alimentent et structurent le développement des villes.",fr
10,citizen_sub_8a6,LETTER,"Dans le quartier historique de Montréal, les choix du passé ont fait de ces grands axes, des cicatrices urbaines divisant des quartiers dont le génie résidait dans un environnement agréable aux familles, aux piétons et aux espaces marchands qui œuvraient à l’époque comme espace de socialisation.",fr
