,file,speaker,sentence,lang
0,citizen_sub_8a39,LETTER,Mémoire sur le projet d’aménagement de l’autoroute Bonaventure (,fr
1,citizen_sub_8a39,LETTER,Consultation publique de l’Office de consultation publique de Montréal Présenté,fr
2,citizen_sub_8a39,LETTER,Montréal trouve utile la réflexion et la proposition de la Société du Havre en vue d’un réaménagement de l’autoroute Bonaventure.,fr
3,citizen_sub_8a39,LETTER,Ce projet majeur doit être la clé de voûte d’une revitalisation des quartiers anciens entre le Vieux-Montréal et le secteur du marché Atwater et non pas un geste élégant mais isolé faute d’une planification d’ensemble.,fr
4,citizen_sub_8a39,LETTER,"Les prémisses du projet centrées sur des retombées fiscales pour la Ville de Montréal au détriment de l’amélioration urbaine véritable doivent être revues pour :  Donner une entrée digne et inspirante au centre-ville, conjuguant les échelles de la Métropole et des quartiers en aménageant un espace public et artistique au bénéfice des usagers des modes de transport qui traversent le secteur comme des personnes qui y résident ou travaillent et de toute la population;",fr
5,citizen_sub_8a39,LETTER," Revitaliser les quartiers limitrophes en contribuant par des propositions concrètes et une prévision des bénéfices urbains, à l’animation des bâtiments et ensembles patrimoniaux et à la réalisation de projets d’insertion de qualité pour éliminer les nombreux terrains vacants et créer des quartiers vivants.",fr
6,citizen_sub_8a39,LETTER,Montréal rappelle que ce projet attendu depuis longtemps jouissait d’un important capital d’adhésion.,fr
7,citizen_sub_8a39,LETTER,"Pour ne pas le gaspiller, il faut en inscrire les étapes suivantes de sa conception dans un cadre de planification élargi et que la Ville de Montréal reprenne son rôle de garant de l’urbanisme.",fr
8,citizen_sub_8a39,LETTER,Il doit être fondé sur l’évaluation des impacts sur les secteurs,fr
9,citizen_sub_8a39,LETTER,environnants car la requalification d’un site comme celui de l’autoroute,fr
10,citizen_sub_8a39,LETTER,ne doit pas se faire au prix de la disqualification de quartiers entiers qui commencent à renaître.,fr
11,citizen_sub_8a39,LETTER,Principes pour un développement urbain de qualité c. Intérêt pour le réaménagement de l’autoroute Bonaventure,fr
12,citizen_sub_8a39,LETTER,Enjeux liés au processus de planification b.,fr
13,citizen_sub_8a39,LETTER,Enjeux patrimoniaux c. Enjeux de paysage et d’aménagement urbains 3.,fr
14,citizen_sub_8a39,LETTER,"à Joël Gauthier, président-directeur général de l’Agence métropolitaine de transport (",fr
15,citizen_sub_8a39,LETTER,26 février 2009) B. Lettre d’,fr
16,citizen_sub_8a39,LETTER,présidente de la Société du Havre de Montréal (29 juin 2009),fr
17,citizen_sub_8a39,LETTER,C. Projet de développement de Griffintown,fr
18,citizen_sub_8a39,LETTER,- Projet de principes directeurs (ébauche pour discussion – 9 octobre 2007),fr
19,citizen_sub_8a39,LETTER,D. Meilleurs vœux pour un développement urbain de qualité en 2010 Texte publié dans Le Devoir le 30 décembre 2009 Projet de réaménagement de l’autoroute Bonaventure (Phase 1) Mémoire d’Héritage,fr
20,citizen_sub_8a39,LETTER,Montréal présenté à l’Office de consultation publique de Montréal le 19 janvier 2010,fr
21,citizen_sub_8a39,LETTER,"Montréal est un organisme indépendant et non-partisan fondé en 1975 pour « promouvoir et encourager la protection de l’héritage historique, architectural, naturel et culturel des collectivités de la province de Québec » (Lettres patentes, 15 octobre 1975).",fr
22,citizen_sub_8a39,LETTER,Nous regroupons des membres reflétant la diversité de la communauté montréalaise.,fr
23,citizen_sub_8a39,LETTER,"Outre les fonctions de gestion liées à l’existence de tout organisme, Héritage",fr
24,citizen_sub_8a39,LETTER,"Montréal agit dans deux champs principaux, soit :  L’éducation pour sensibiliser et informer la population et les décideurs publics ou privés aux enjeux du patrimoine montréalais et de sa conservation dans une ville vivante.",fr
25,citizen_sub_8a39,LETTER,"La représentation pour promouvoir la prise de décisions pertinentes et l’excellence des pratiques en matière de patrimoine, d’aménagement et de participation citoyenne.",fr
26,citizen_sub_8a39,LETTER,C’est sur cette base que l’Assemblée générale d’,fr
27,citizen_sub_8a39,LETTER,Montréal endossait l’énoncé des valeurs que l’organisme projette dans ses activités et interventions (voir www.heritagemontreal.org).,fr
28,citizen_sub_8a39,LETTER,Il se résume ainsi : ,fr
29,citizen_sub_8a39,LETTER,Une définition englobante du patrimoine et de la conservation (biens répertoriés formellement ou non;,fr
30,citizen_sub_8a39,LETTER,"contexte physique, culturel et social encourageant le maintien et le bon usage du patrimoine;",fr
31,citizen_sub_8a39,LETTER,conception dynamique et responsable du patrimoine et de sa protection),fr
32,citizen_sub_8a39,LETTER,"Une responsabilité collective et des acteurs à mobiliser (concertation des secteurs publics, privés, associatifs et académiques;",fr
33,citizen_sub_8a39,LETTER,devoir d’exemplarité des propriétaires publics),fr
34,citizen_sub_8a39,LETTER," Des façons de faire respectueuses fondées sur la pertinence, la connaissance et la créativité (action préventive;",fr
35,citizen_sub_8a39,LETTER,"renvoi aux promoteurs du fardeau de la preuve généralement subi par le patrimoine, défi d’enrichir le patrimoine)",fr
36,citizen_sub_8a39,LETTER,"Dans son rôle de défense et d’illustration du patrimoine montréalais, Héritage",fr
37,citizen_sub_8a39,LETTER,"Montréal emploie des références fondées sur ses textes fondateurs, sur son expérience accumulée, sur la réalité montréalaise et les références nationales et internationales comme la Déclaration québécoise du patrimoine (2000), les termes de l’Initiative canadienne des lieux patrimoniaux et les textes ide l’ICOMOS et de l’UNESCO.",fr
38,citizen_sub_8a39,LETTER,"Nous comptons cinq types de patrimoine dans l’espace urbain, associés à des outils ou pratiques de protection et de mise en valeur.",fr
39,citizen_sub_8a39,LETTER,"Ces dimensions patrimoniales sont :  Le construit (constructions individuelles de grande ou petite architecture, art public, ouvrages de génie civil, aménagements)",fr
40,citizen_sub_8a39,LETTER,"Le paysage urbain (vues, silhouette, topographie, caractères, repères, échelle, ensembles architecturaux, parcours dynamiques)",fr
41,citizen_sub_8a39,LETTER," Le mémoriel (usages, coutumes ou rituels associés aux sites ou bâtiments, lieux de mémoire, toponymie)  L’archéologique (traces témoignant d’activités passées, vestiges enfouis, marques sur les constructions)",fr
42,citizen_sub_8a39,LETTER,Projet de réaménagement de l’autoroute Bonaventure (,fr
43,citizen_sub_8a39,LETTER,Phase 1) Mémoire d’Héritage,fr
44,citizen_sub_8a39,LETTER,Montréal présenté à l’Office de consultation publique de Montréal le 19 janvier 2010,fr
45,citizen_sub_8a39,LETTER,"Le naturel (sites des règnes minéral, végétal et animal, écosystèmes et habitats)",fr
46,citizen_sub_8a39,LETTER,"b. Principes pour un développement urbain de qualité Dans le cadre des réflexions actuelles sur le développement urbain durable à Montréal, Héritage",fr
47,citizen_sub_8a39,LETTER,Montréal a énoncé des principes d’excellence.,fr
48,citizen_sub_8a39,LETTER,Ils sont été publiés dans Le Devoir le 25 janvier 2008 et exposés à la Chambre de commerce du Montréal métropolitain le 31 janvier 2008 et se résument comme suit :,fr
49,citizen_sub_8a39,LETTER,Recevabilité et pertinence des projets (réponse aux besoins collectifs;,fr
50,citizen_sub_8a39,LETTER,"compatibilité avec le site aux plans symbolique, patrimonial, physique, social et fonctionnel)",fr
51,citizen_sub_8a39,LETTER,Prise en compte du patrimoine et du contexte urbain (cinq types de patrimoine urbain,fr
52,citizen_sub_8a39,LETTER,"– bâti, paysage, archéologique, mémoriel, naturel;",fr
53,citizen_sub_8a39,LETTER,contribution à la promenabilité et à l’appréciation de l’urbanité) iii.,fr
54,citizen_sub_8a39,LETTER,"Exemplarité et crédibilité du processus d’élaboration du projet (relation avec les citoyens et les parties intéressées, apport d’expertise, indépendance et efficacité de la consultation, mécanisme de suivi)",fr
55,citizen_sub_8a39,LETTER,"Innovation dans le concept et dans sa réalisation (caractère novateur et créatif de la proposition en réponse aux enjeux urbains et patrimoniaux, potentiel de modèle inspirant et reproductible, suivi)",fr
56,citizen_sub_8a39,LETTER,"v. Durabilité + 25 et contribution au patrimoine montréalais actuel et futur (bilan à long terme anticipé du projet au moins 25 ans après sa réalisation, contribution au Montréal des générations futures)",fr
57,citizen_sub_8a39,LETTER,c. Intérêt pour le réaménagement de l’autoroute Bonaventure,fr
58,citizen_sub_8a39,LETTER,Montréal s’intéresse au devenir des anciens quartiers de Montréal depuis sa fondation en 1975.,fr
59,citizen_sub_8a39,LETTER,Cet intérêt porte tant sur la mise en place de mesures de protection efficaces que sur la réalisation de projets de réhabilitation et de mise en valeur d’un site ou d’un édifice comme d’un quartier ou d’un territoire complexe;,fr
60,citizen_sub_8a39,LETTER,"par exemple, celui du triangle Vieux",fr
61,citizen_sub_8a39,LETTER,Montréal / canal de Lachine / centre-ville que l’autoroute Bonaventure traverse.,fr
62,citizen_sub_8a39,LETTER,"Dans le cas particulier du réaménagement de l’autoroute Bonaventure, Héritage Montréal a aidé à la réalisation d’études du secteur et de son patrimoine dès les années 1970 par Sauvons Montréal.",fr
63,citizen_sub_8a39,LETTER,Nous avons tenu des activités avec l’École d’architecture de l’Université de Montréal sur les ensembles patrimoniaux de la New City Gas Co.,fr
64,citizen_sub_8a39,LETTER,et de la forge Cadieux en 1986 et participé à la charrette Dessein sur Montréal organisée en 1989 par le Groupe d’intervention urbaine de Montréal (GIUM) sur ce secteur.,fr
65,citizen_sub_8a39,LETTER,Projet de réaménagement de l’autoroute Bonaventure (,fr
66,citizen_sub_8a39,LETTER,Phase 1) Mémoire d’Héritage,fr
67,citizen_sub_8a39,LETTER,Montréal présenté à l’Office de consultation publique de Montréal le 19 janvier 2010,fr
68,citizen_sub_8a39,LETTER,"– p. 3En 2007-2008, Héritage Montréal s’est aussi intéressé au projet de la société Devimco pour le secteur Griffintown, a répondu aux demandes de rencontres du promoteur et a produit des principes directeurs (voir annexe C) et évaluations du projet qui lui ont été communiqués ainsi qu’à la Ville de Montréal.",fr
69,citizen_sub_8a39,LETTER,"Nous avons choisi de ne pas participer aux séances organisées par l’arrondissement du Sud-Ouest début 2008 sous le vocable de « consultation publique » considérant que ces activités, malgré leurs statistiques spectaculaires, ne répondaient pas aux exigences minimales d’indépendance, de rigueur et de recommandation attendues d’une consultation publique crédible et efficace qu’aurait commandé un projet aux impacts urbains aussi étendus et multiples.",fr
70,citizen_sub_8a39,LETTER,Le dossier Griffintown a substantiellement affecté la crédibilité de l’administration montréalaise dans l’exercice de ses responsabilités en matière d’urbanisme et d’encadrement de grands projets alors qu’elle bouscula les principes de l’intérêt collectif et les règles d’une saine pratique du développement urbain pour concéder d’importants privilèges à un projet qui s’avéra jusqu’à présent plutôt irréaliste.,fr
71,citizen_sub_8a39,LETTER,"Nous tirons des leçons de ce cas pour l’examen de projets comme ceux du Quadrilatère Saint-Laurent ou plus spécifiquement ici, du Quartier Bonaventure, pour éviter que le développement urbain de Montréal ne repose que sur des statistiques ou des images miroitantes dont la réalisation des promesses reste tributaire de tiers incertains.",fr
72,citizen_sub_8a39,LETTER,"Par ailleurs, depuis plusieurs années, Héritage Montréal a maintenu une relation cordiale avec la Société du Havre et répondu à ses invitations à suivre l’évolution de ses réflexions, à participer à des rencontres qu’elle organisa et à commenter ses orientations.",fr
73,citizen_sub_8a39,LETTER,"En particulier, nous avons participé à une rencontre dite « de concertation » en septembre 2008 sur le projet d’aménagement de l’autoroute Bonaventure au cours de laquelle nous avons émis certaines mises en garde, notamment sur la pertinence de concentrer les transits d’autobus sur la rue Dalhousie et d’ériger une lignée de tours dans l’emprise de l’actuelle autoroute compte tenu de l’impact d’une telle proposition sur le paysage urbain, les vues et le concept d’une entrée de ville.",fr
74,citizen_sub_8a39,LETTER,"En annexes A et B, nous incluons les textes de lettres que nous avons adressées à la Société du Havre de Montréal et à l’Agence métropolitaine de transport au sujet du projet de réaménagement de l’autoroute Bonaventure, notamment les propositions de corridor d’autobus sur la rue Dalhousie et la construction de tours.",fr
75,citizen_sub_8a39,LETTER,La présente intervention a été préparée par la permanence d’Héritage,fr
76,citizen_sub_8a39,LETTER,sous la responsabilité du Comité Patrimoine et Aménagement (COPA) de l’organisme.,fr
77,citizen_sub_8a39,LETTER,Son contenu repose sur les principes et positions passées de l’organisme.,fr
78,citizen_sub_8a39,LETTER,Il a aussi bénéficié des réflexions menées par Héritage,fr
79,citizen_sub_8a39,LETTER,Montréal depuis près de 35 ans sur la protection et la mise en valeur du patrimoine et sur le développement urbain.,fr
80,citizen_sub_8a39,LETTER,"La préparation du mémoire a aussi bénéficié de la consultation des documents assemblés par l’Office de consultation publique, ainsi que des renseignements obtenus lors des périodes d’information et de question du public organisées dans le cadre du présent exercice.",fr
81,citizen_sub_8a39,LETTER,Projet de réaménagement de l’autoroute Bonaventure (,fr
82,citizen_sub_8a39,LETTER,Phase 1) Mémoire d’Héritage,fr
83,citizen_sub_8a39,LETTER,Montréal présenté à l’Office de consultation publique de Montréal le 19 janvier 2010,fr
84,citizen_sub_8a39,LETTER,Enjeux liés au processus de planification Héritage,fr
85,citizen_sub_8a39,LETTER,Montréal a pris connaissance des cinq « principes directeurs orientant la démarche d’aménagement » (document 3.1 Quartier Bonaventure,fr
86,citizen_sub_8a39,LETTER,Le nouveau Montréal – Réaménagement de l’autoroute,fr
87,citizen_sub_8a39,LETTER,"1 – Synthèse des études de l’avant-projet détaillé, mars 2009, p. 2) et félicite la Société du Havre pour avoir ainsi fait l’effort de communiquer les bases de sa démarche, élément trop souvent absent de la présentation de projet privés ou publiques.",fr
88,citizen_sub_8a39,LETTER,"Nous notons avec intérêt le 5e principe sur la qualité du processus de développement du projet, l’un des éléments identifiés par Héritage",fr
89,citizen_sub_8a39,LETTER,Montréal comme clé pour l’excellence du développement urbain.,fr
