,file,speaker,sentence,lang
0,citizen_sub_8a11,LETTER,"1853 1907 2009 2025 Quartier Bonaventure Analyse pour l'Office de consultation publique de Montréal Analysis for the Office de Consultation Publique de Montréal Presenté par le Comité pour le sain redéveloppement de Griffintown Presented by the Committee for the Sustainable Redevelopment of Griffintown Le 7 janvier, 2010 January 7th, 2010 07 01 10 – Committee For the Sustainable Redevelopment of Griffintown – Page 1The Committee for the Sustainable Redevelopment of Griffintown and its Mission The Committee for the Sustainable Redevelopment of Griffintown (CSRG) is a community organisation whose members live, work and/or own property in Griffintown.",en
1,citizen_sub_8a11,LETTER,"The CSRG's mission is to promote the redevelopment of Griffintown based on: • respect for the neighbourhood’s history, drawing upon it for inspiration • respect of the existing and historically significant street grid • respect for the architecture and construction materials specific to the neighbourhood • respect for the environment and use of sustainable practices • reasonable density at a human scale • durable development for the new century The CSRG promotes local projects and endeavours such as the Ottawa Street Cultural Corridor project and the Griffintown Horse Palace Foundation.",en
2,citizen_sub_8a11,LETTER,The CSRG maintains the website www.griffintown.org 07 01 10 – Committee For the Sustainable Redevelopment of Griffintown – Page 2Overview The Société du Havre de Montréal's (SHM) Quartier Bonaventure proposal is excellent in spirit.,en
3,citizen_sub_8a11,LETTER,"The CSRG strongly supports the stated objectives of eliminating the elevated portion of the highway north of the Peel Basin, redeveloping the reclaimed land, and improving public transport while reducing the number of private vehicles circulating on the same axis.",en
4,citizen_sub_8a11,LETTER,"Unfortunately, the manifestation of these objectives in the currently proposed plan is severely misguided and toxic to the potential for redevelopment of the sector.",en
5,citizen_sub_8a11,LETTER,"In this document we will show that the Dalhousie Bus Corridor, an eightlane urban boulevard and overzealous densities at the expense of heritage are extremely detrimental to the area's outstanding redevelopment potential.",en
6,citizen_sub_8a11,LETTER,The CSRG instead strongly recommends the execution of the AMT's existing plans for electrified public transit through the corridor as the cornerstone of durable redevelopment respecting the existing and historic urban fabric of the neighbourhood.,en
7,citizen_sub_8a11,LETTER,"Context The Bonaventure Expressway was constructed, with urgency, in the 1960s, to provide access to the Expo 67 site.",en
8,citizen_sub_8a11,LETTER,"The highway links the Champlain Bridge, also a product of the 1960s, with the southern downtown core.",en
9,citizen_sub_8a11,LETTER,"In the early 1970s, the Ville-Marie Expressway finally provided the missing link between the Champlain Bridge and the downtown core, thereby eliminating any outstanding purpose of the Bonaventure Expressway.",en
