,file,speaker,sentence,lang
0,citizen_sub_8b10,LETTER,Association des résidants du Vieux-Montréal (ARVM),fr
1,citizen_sub_8b10,LETTER,sur le projet de Réaménagement de l’autoroute Bonaventure (Phase 1) de la Société du Havre de Montréal (SHM) déposé à l’Office de consultation publique de Montréal,fr
2,citizen_sub_8b10,LETTER,"Le 7 Janvier 2010Sommaire Bien que d’accord avec les objectifs du projet, le Conseil de l’ARVM constate que le concept architectural proposé ne s’inscrit pas dans une vision d’ensemble de l’aménagement du territoire ce qui pourrait hypothéquer les retombées du projet sur la revitalisation des secteurs avoisinants et la prompte réalisation d’une entrée de ville prestigieuse.",fr
3,citizen_sub_8b10,LETTER,"L’association est également préoccupée des impacts possibles du projet, particulièrement des impacts liés au débordement de la circulation, sur la qualité de vie des résidants du Vieux-Montréal tant pendant qu’après les travaux.",fr
4,citizen_sub_8b10,LETTER,Les recommandations ont été regroupées sous les trois thématiques suivantes.,fr
5,citizen_sub_8b10,LETTER,"Le concept d’aménagement et son arrimage au concept routier  L’analyse de la nécessité de l’entrée/sortie de l’A-720 à Université devrait être réalisée avant la finalisation de l’avant-projet routier et du concept d’aménagement, cet élément étant déterminant pour établir la faisabilité et les caractéristiques de l’ensemble du projet, y compris la voie réservée pour autobus.",fr
6,citizen_sub_8b10,LETTER,"La révision du Plan d’urbanisme devrait fournir une vision d’ensemble pour le centre-ville et les arrondissements Ville-Marie et du Sud-Ouest qui serve de référent à l’élaboration de diverses solutions d’aménagement et de mise en valeur des espaces publics libérés (espace vert, parc, variantes de concept architectural).",fr
7,citizen_sub_8b10,LETTER,"Le concept d’aménagement éventuellement retenu et, le cas échéant, les mesures réglementaires nécessaires à sa mise en œuvre devraient être soumis à la consultation publique avant la mise en œuvre du projet routier.",fr
8,citizen_sub_8b10,LETTER,La réalisation du volet routier et du volet aménagement devrait être étroitement rapprochée dans le temps afin d’éviter l’aggravation de la frange urbaine existante.,fr
9,citizen_sub_8b10,LETTER,Impacts du projet sur la circulation métropolitaine et la circulation dans le Vieux-Montréal ,fr
10,citizen_sub_8b10,LETTER,"La réalisation de Bonaventure devrait être coordonnée avec les autres améliorations identifiées sur le réseau supérieur (A-15, Turcot) afin de limiter les débordements sur les réseaux artériels et locaux.",fr
11,citizen_sub_8b10,LETTER,Les impacts du projet sur la circulation dans le Vieux-Montréal devraient être analysés de façon plus systématique et des mesures permanentes appropriées de gestion de la circulation dans le corridor Bonaventure devraient être prévues pour atténuer ces impacts.,fr
12,citizen_sub_8b10,LETTER,Une solution permanente visant à diriger dans le corridor Bonaventure réaménagé la circulation empruntant actuellement la rue Mill en provenance du Pont Victoria et du Sud-Ouest devrait être mise en place concurremment à la réalisation du projet.,fr
13,citizen_sub_8b10,LETTER,Impacts de la réalisation des travaux sur la qualité de vie des résidants ,fr
14,citizen_sub_8b10,LETTER,"La réalisation des travaux devrait tenir compte de la proximité des résidants et des mesures d’atténuation du bruit, des vibrations, de la poussière et autres impacts associés aux travaux (démolition, réalisation des nouvelles structures, transport des matériaux, etc.)",fr
15,citizen_sub_8b10,LETTER,"devraient être prévues, notamment l’interdiction de travaux durant la nuit.",fr
