,file,speaker,sentence,lang
0,citizen_sub_8a14a,LETTER,"« J’aimerais simplement rappeler qu’on est en avant‐projet, donc on est déjà à une étape où il est possible de modifier, d’améliorer, de discuter.",fr
1,citizen_sub_8a14a,LETTER,» Séance du 26 novembre 2009«,fr
2,citizen_sub_8a14a,LETTER,"Je pense qu’il n’y avait pas de problème à réaliser une étude ou à l’étudier puisque étant en avant‐projet, on n’est pas encore dans les étapes définitives.",fr
3,citizen_sub_8a14a,LETTER,» Séance du 1 décembre 2009«,fr
4,citizen_sub_8a14a,LETTER,"Je vous rappelle qu’on est à l’étape de l’avant‐projet, donc tout n’est pas déjà figé et que ces questions pourraient faire l’objet d’études complémentaires.",fr
5,citizen_sub_8a14a,LETTER,Séance du 2 décembre 2009«,fr
6,citizen_sub_8a14a,LETTER,"En avant‐projet, ça n’est pas un projet dont les règlements et toute la quincaillerie qui vient avec est réalisé.",fr
7,citizen_sub_8a14a,LETTER,"C’est le contraire, c’est un avant‐projet.",fr
8,citizen_sub_8a14a,LETTER,» Séance du 2 décembre 2009«,fr
9,citizen_sub_8a14a,LETTER,Je ne suis pas personnellement inquiète des suites qui devront être données et je dirais ça va prendre le temps qu’il va falloir que ça prenne.,fr
10,citizen_sub_8a14a,LETTER,"Ce que je sais, c’est qu’à ce moment‐ci, on est en avant‐ projet.",fr
11,citizen_sub_8a14a,LETTER,» Séance du 2 décembre 2009«,fr
12,citizen_sub_8a14a,LETTER,La présidente de la commission demande aux représentants du promoteur de décrire le cheminement du projet,fr
13,citizen_sub_8a14a,LETTER,et d’indiquer si d’autres études seront déposées aux fins de la consultation.,fr
14,citizen_sub_8a14a,LETTER,que l’avant‐projet de la phase 1 du réaménagement de l’autoroute qui fera l’objet de la consultation est fin prêt depuis juin dernier et que la Société du Havre de Montréal est maintenant à l’étape de la préparation des plans et devis du projet.,fr
15,citizen_sub_8a14a,LETTER,M. Rainville précise cependant qu’il est encore possible d’apporter des améliorations à l’avant‐projet.,fr
16,citizen_sub_8a14a,LETTER,» Compte‐rendu de la rencontre préparatoire 2009‐11‐03 (Page 2/4)«,fr
17,citizen_sub_8a14a,LETTER,Toute étude additionnelle qui pourrait être requise à ce stade concernant le corridor Dalhousie ne servirait qu'à obtenir un niveau de raffinement des études antérieures sans remettre en question la pertinence de ce corridor.,fr
18,citizen_sub_8a14a,LETTER,"» Communiqué SHM, 17 septembre 2009«",fr
19,citizen_sub_8a14a,LETTER,"qui est devant vos yeux, c’est l’avant‐projet détaillé avant de procéder d’une façon finale aux plans et devis définitifs.",fr
20,citizen_sub_8a14a,LETTER,"Séance du 24 novembre 2009Signataires: L'Ordre des urbanistes du Québec et les personnes suivantes: Joseph Baker, Michel Barcelo, Gérard Beaudet, Claude Beaulac, Claude Béland, Michèle Bertrand, Laurence Bhérer, David Brown, Robert Chicoine, Raphael Fischler, Michel Gariépy, Mario Gauthier, Lucia Kowaluk, Phyllis Lambert, Jean Paré (urbaniste), Ron Rayside, Dimitri Roussopoulos, Marie‐Odile Trépanier, Jeanne M. Wolfe, Michel Yergeau.",fr
21,citizen_sub_8a14a,LETTER,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT (SITE)«Et ça c’est la main qui m’a nourrit.",fr
