,file,speaker,sentence,lang
0,citizen_sub_8b12,LETTER,Le Conseil des monuments et sites du Québec et L’Association québécoise pour le patrimoine industriel Mémoire sur le projet métropolitain PM 09‐009,fr
1,citizen_sub_8b12,LETTER,"phase 1 Présenté à la consultation de l’Office de consultation publique de Montréal, le 12 janvier 2009, au 1550 rue Metcalfe, bureau 1414 RÉSUMÉ",fr
2,citizen_sub_8b12,LETTER,Ce mémoire a comme objectif de souligner l’importance du passé industriel du complexe de la New City Gas Company et de faire part de nos préoccupations quant au sort qui sera réservé à ces bâtiments dans le cadre du réaménagement de l’autoroute Bonaventure.,fr
3,citizen_sub_8b12,LETTER,Nous proposons aussi une série de recommandations regroupant des pistes d’intervention et de mise en œuvre.,fr
4,citizen_sub_8b12,LETTER,"En nous appuyant sur plusieurs études et évaluations publiées antérieurement par le Service d’urbanisme de la Ville de Montréal, Héritage Montréal, le Conseil du patrimoine de Montréal, la firme Patri‐Arch et l’Atelier B.R.I.C. nous expliquons pour quelles raisons les bâtiments de la New City Gas ont une valeur patrimoniale et architecturale exceptionnelle.",fr
5,citizen_sub_8b12,LETTER,"Premièrement, certains bâtiments du complexe sont les derniers témoins de l’industrie de la production et de la distribution de gaz à Montréal.",fr
6,citizen_sub_8b12,LETTER,"À l’époque, cette production a permis l’éclairage des rues et des entreprises de Montréal et a contribué de façon notoire à faire entrer la ville de Montréal dans la modernité et accentuer sa compétitivité avec les villes américaines.",fr
7,citizen_sub_8b12,LETTER,"Deuxièmement, ce bâtiment a été conçu par John Ostell, l’architecte anglophone le plus important de Montréal au milieu du 19e siècle.",fr
8,citizen_sub_8b12,LETTER,"Plusieurs détails architecturaux sont remarquables et doivent être préservés : les contreforts extérieurs, les grandes arcades de brique et l’imposant gabarit du bâtiment.",fr
9,citizen_sub_8b12,LETTER,"Troisièmement, les bâtiments ont conservés une intégrité formelle, tant au niveau de la structure que des matériaux.",fr
10,citizen_sub_8b12,LETTER,"Finalement, la valeur contextuelle liée à la New",fr
11,citizen_sub_8b12,LETTER,City Gas est très forte.,en
12,citizen_sub_8b12,LETTER,L’ensemble industriel participe à la définition d’un paysage urbain pouvant être apprécié tant à partir du quartier du ConseilBonaventure des monuments etou sitesdu du Québec et de l’Association québécoise pour le patrimoine industriel,fr
13,citizen_sub_8b12,LETTER,: Quelle est la place réelle accordée à la dimension patrimoniale au sein du projet?,fr
14,citizen_sub_8b12,LETTER,"Quelles sont les intentions concrètes de la Société du Havre et les actions prévues quant 1(Résumé suite) Finalement, la valeur contextuelle liée à la New City Gas est très forte.",fr
15,citizen_sub_8b12,LETTER,"L’ensemble industriel participe à la définition d’un paysage urbain pouvant être apprécié tant à partir du quartier Griffintown, que de l’autoroute Bonaventure ou du viaduc ferroviaire.",fr
16,citizen_sub_8b12,LETTER,Nos préoccupations : Quelle est la place réelle accordée à la dimension patrimoniale au sein du projet?,fr
17,citizen_sub_8b12,LETTER,Quelles sont les intentions concrètes de la Société du Havre et les actions prévues quant à l’intégration de la New City Gas dans le réaménagement de l’autoroute?,fr
18,citizen_sub_8b12,LETTER,"- Veiller à ce que les interventions privilégiées par la Société du Havre et d’éventuel(s) promoteur(s) garantissent la conservation de l’intégrité (historique, architecturale, contextuelle et de matérialité) de l’ensemble du complexe de la New City Gas Company",fr
19,citizen_sub_8b12,LETTER,"- En vertu de la Loi sur les biens culturels (LBC), à l’échelle municipale, citer à titre de monument historique et, à l’échelle provinciale, envisager l’hypothèse de classer le site de la New City Gas Company",fr
20,citizen_sub_8b12,LETTER,"- Afin que la ville de Montréal puisse effectuer un contrôle et un suivi plus serré des décisions et des opérations entourant le projet, favoriser l’élaboration d’un PPU (programme particulier d’urbanisme) qui soit en amont des actions planifiées et entreprises par la Société du Havre et d’(un) éventuel(s) promoteur(s).",fr
21,citizen_sub_8b12,LETTER,- Jeter les bases d’un partenariat novateur en matière de financement.,fr
22,citizen_sub_8b12,LETTER,Mémoire du Conseil des monuments et sites du Québec et de l’,fr
23,citizen_sub_8b12,LETTER,Association québécoise pour le patrimoine industriel,fr
24,citizen_sub_8b12,LETTER,phase 1 2TABLE DES MATIÈRES 1.,en
25,citizen_sub_8b12,LETTER,Missions et principes des organismes dépositaires a.,fr
26,citizen_sub_8b12,LETTER,Le Conseil des monuments et sites du Québec (CMSQ),fr
27,citizen_sub_8b12,LETTER,b. L’Association québécoise pour le patrimoine industriel (Aqpi),fr
28,citizen_sub_8b12,LETTER,c. L’intérêt pour le dossier 2.,fr
29,citizen_sub_8b12,LETTER,Retour sur les recommandations et les études déjà effectuées b.,fr
30,citizen_sub_8b12,LETTER,La place accordée au patrimoine et les préoccupations liées au projet 3.,fr
31,citizen_sub_8b12,LETTER,Le site et les bâtiments de l’ancienne New City Gas Company a. Retour sur les valeurs patrimoniales associées au complexe industriel 4.,fr
32,citizen_sub_8b12,LETTER,Mémoire du Conseil des monuments et sites du Québec et de l’Association québécoise pour le patrimoine industriel,fr
33,citizen_sub_8b12,LETTER,Mission et principes des organismes dépositaires a.,fr
34,citizen_sub_8b12,LETTER,Le Conseil des monuments et sites du Québec (CMSQ),fr
35,citizen_sub_8b12,LETTER,Organisme privé à but non lucratif créé en 1975,fr
36,citizen_sub_8b12,LETTER,", le Conseil des monuments et sites du Québec (CMSQ) œuvre à la sauvegarde et à la mise en valeur du patrimoine bâti et des paysages culturels du Québec.",fr
37,citizen_sub_8b12,LETTER,"Les objectifs poursuivis par le CMSQ consistent à valoriser et à faire connaître le patrimoine bâti et naturel du Québec aux autorités et à la population, et à entreprendre les actions appropriées à la mise en valeur et à la sauvegarde des éléments patrimoniaux.",fr
38,citizen_sub_8b12,LETTER,"Le Conseil a pour mandat de regrouper les organismes, les institutions et les individus intéressés au patrimoine.",fr
39,citizen_sub_8b12,LETTER,Sa démarche est liée à celle des organisations nationales et internationales qui poursuivent des buts analogues aux siens.,fr
40,citizen_sub_8b12,LETTER,"Ses champs d’intervention sont nombreux : patrimoine architectural, paysager, naturel, industriel, scientifique, archéologique et tourisme culturel.",fr
41,citizen_sub_8b12,LETTER,"En matière de sensibilisation et de valorisation du patrimoine, les actions du CMSQ se concrétisent par des projets d’édition, d’éducation, d’animation, d’intervention publique et de gestion de site.",fr
42,citizen_sub_8b12,LETTER,Son mandat et son action s'étendent à toutes les régions du Québec.,fr
43,citizen_sub_8b12,LETTER,L’Association québécoise pour le patrimoine industriel (Aqpi),fr
44,citizen_sub_8b12,LETTER,"Fondée en 1988, l'Association québécoise pour le patrimoine industriel (Aqpi) poursuit un travail de recherche et de diffusion de la connaissance sur notre patrimoine industriel.",fr
45,citizen_sub_8b12,LETTER,"L'Aqpi rejoint, dans toutes les disciplines et dans tous les milieux, des personnes intéressées à ce domaine.",fr
46,citizen_sub_8b12,LETTER,Elle joue un rôle social par l'information ou l'appui qu'elle peut offrir à l'action locale en matière de patrimoine.,fr
47,citizen_sub_8b12,LETTER,"L’Aqpi regroupe plus de 120 membres issus de toutes les régions du Québec et qui proviennent de différents milieux communautaires, professionnels et académiques.",fr
48,citizen_sub_8b12,LETTER,"L'objectif général de l'Association québécoise pour le patrimoine industriel est de promouvoir l'étude, la connaissance, la conservation et la mise en valeur du patrimoine industriel au Québec.",fr
49,citizen_sub_8b12,LETTER,L'Aqpi participe comme organisme aux diverses instances de concertation du milieu du patrimoine au Québec et travaille activement à créer des liens internationaux d'échange de savoir‐faire et de connaissance.,fr
50,citizen_sub_8b12,LETTER,Les objectifs spécifiques de l'Aqpi sont les suivants :,fr
51,citizen_sub_8b12,LETTER,"Favoriser la conservation du patrimoine industriel (sites, bâtiments, machines, artefacts, archives, iconographie, documents audiovisuels, savoirs) à l'aide de relevés, d'enquêtes documentaires ou orales, ou de tout autre moyen approprié.",fr
52,citizen_sub_8b12,LETTER,"Recueillir, étudier et diffuser de l'information sur les principes, les techniques et les politiques concernant la documentation, la recherche et l'action appliquée au patrimoine industriel.",fr
53,citizen_sub_8b12,LETTER,"Publier ou favoriser la publication des résultats de travaux de recherche, d'enquêtes ou d'inventaires relatifs au patrimoine industriel.",fr
54,citizen_sub_8b12,LETTER,Encourager et collaborer avec les organismes ou individus qui sont impliqués dans la conservation ou la mise en valeur du patrimoine industriel.,fr
55,citizen_sub_8b12,LETTER,Mémoire du Conseil des monuments et sites du Québec et de l’Association québécoise pour le patrimoine industriel,fr
56,citizen_sub_8b12,LETTER,"phase 1 4Organiser des rencontres (séminaires, conférences, visites de terrain, etc.)",fr
57,citizen_sub_8b12,LETTER,afin de favoriser l'acquisition et l'échange de connaissances et d'informations sur le patrimoine industriel.,fr
58,citizen_sub_8b12,LETTER,"Favoriser la coopération avec les milieux de l'éducation, des affaires et du travail afin de les sensibiliser aux valeurs du patrimoine industriel.",fr
59,citizen_sub_8b12,LETTER,Contribuer à l'éveil du grand public au patrimoine industriel.,fr
60,citizen_sub_8b12,LETTER,c. L’intérêt pour le dossier Nous nous intéressons au traitement de la question patrimoniale dans le cadre du projet Quartier Bonaventure.,fr
61,citizen_sub_8b12,LETTER,Ce mémoire désire souligner l’importance du passé industriel du secteur touché par le réaménagement de l’autoroute Bonaventure.,fr
62,citizen_sub_8b12,LETTER,"Par conséquent, nous nous attardons au sort de l’ancien complexe de la New City Gas Company, l’un des symboles montréalais de la « révolution de la lumière » et de l’éclairage public encore manifestes aujourd’hui, et qui a notamment été identifié comme un site d’intérêt patrimonial et architectural de valeur exceptionnelle dans le plan d’urbanisme de la ville.",fr
63,citizen_sub_8b12,LETTER,L’intérêt de l’Aqpi pour la New City Gas n’est pas récent.,fr
64,citizen_sub_8b12,LETTER,"En mai 2008, l’Aqpi offrait à ses membres et au grand public la chance de visiter l’intérieur des bâtiments de la New City Gas en compagnie du propriétaire, monsieur Harvey Lev.",fr
65,citizen_sub_8b12,LETTER,"Par la suite, Monsieur David Hanna, directeur du département d’études urbaines de l’UQÀM, a guidé la visite extérieure de l’ancienne usine gazière en la situant dans son contexte historique et en expliquant son importance dans l’histoire de Montréal.",fr
66,citizen_sub_8b12,LETTER,"À la suite de cette visite exclusive, un compte rendu a été publié dans le volume 19, no.",fr
67,citizen_sub_8b12,LETTER,2 du Bulletin de l’Aqpi.,fr
68,citizen_sub_8b12,LETTER,"Finalement, le 27 février 2009, l’Aqpi a adressé une lettre au Maire de Montréal, Gérald Tremblay, faisant part de notre inquiétude et de nos questionnements quant à l’avenir de la New City Gas dans le cadre du réaménagement de l’autoroute Bonaventure.",fr
69,citizen_sub_8b12,LETTER,"Gaétan Rainville, président‐directeur général de la Société du Havre de Montréal, Julie Boulet, Ministre des Transports, André Lavallée, responsable de l’aménagement urbain et du transport collectif à la Ville de Montréal et vice‐président du comité exécutif de Montréal, Dinu Bumbaru, directeur des politiques chez Héritage Montréal, Marie Lessard, présidente du Conseil du patrimoine de Montréal, Jacqueline Montpetit, Mairesse de l’arrondissement Sud‐Ouest et Christine St‐Pierre, Ministre de la Culture, des Communications et de la Condition féminine ont tous reçu une copie de celle lettre.",fr
70,citizen_sub_8b12,LETTER,Mémoire du Conseil des monuments et sites du Québec et de l’,fr
71,citizen_sub_8b12,LETTER,Association québécoise pour le patrimoine industriel,fr
72,citizen_sub_8b12,LETTER,Retour sur les recommandations et les études déjà effectuées À la lecture d’études et d’évaluations publiées antérieurement,fr
73,citizen_sub_8b12,LETTER,", nous constatons que le complexe de la New City Gas Company a été à plusieurs reprises considéré comme un site d’une valeur patrimoniale remarquable.",fr
74,citizen_sub_8b12,LETTER,"est un des témoins majeurs de cette révolution (« de la lumière ») et, du fait de la généalogie complexe des compagnies de gaz devenues compagnies d’électricité, le lieu ancestral d’Hydro Québec.",fr
75,citizen_sub_8b12,LETTER,» « […] le complexe de la New City Gas conserve une grande intégrité.,fr
76,citizen_sub_8b12,LETTER,Ses grandes toitures et ses maçonneries de pierre sont aussi d’une forte puissance évocatrice et présence dans le paysage urbain tel qu’on le perçoit depuis le quartier environnant de Griffintown ou en empruntant l’autoroute ou le train.,fr
77,citizen_sub_8b12,LETTER,"» • Plan d’urbanisme de la Ville de Montréal, chapitre de l’arrondissement du Sud‐Ouest : Bâtiment identifié comme ayant une valeur patrimoniale et architecturale exceptionnelle et devant : « faire l’objet d’un contrôle serré, quant aux travaux de construction, de rénovation et de démolition, par les outils réglementaires appropriés, notamment les règlements sur les plans d’implantation et d’intégration architecturale (PIIA).",fr
78,citizen_sub_8b12,LETTER,» • Service de la mise en valeur du territoire et du patrimoine division patrimoine et toponymie.,fr
79,citizen_sub_8b12,LETTER,Analyse du cadre bâti réalisée par Patri‐Arch.,fr
80,citizen_sub_8b12,LETTER,La New City Gas est incontestablement parmi les plus anciens complexes industriels de Montréal et devrait être protégé par un statut légal en vertu de la Loi sur les biens culturels à la lumière d’études plus approfondies.,fr
81,citizen_sub_8b12,LETTER,[…] • Valeur patrimoniale à l’échelle métropolitaine qui dépasse largement le secteur de planification détaillée de Griffintown.,fr
82,citizen_sub_8b12,LETTER,• Complexe à conserver et à mettre en valeur à tous prix.,fr
83,citizen_sub_8b12,LETTER,City Gas devrait être protégé par un statut légal en vertu de la Loi sur les biens culturels à la lumière d’études plus approfondies.,fr
84,citizen_sub_8b12,LETTER,De l’interprétation historique permettrait de mieux faire comprendre l’importance historique de ce site industriel.,fr
85,citizen_sub_8b12,LETTER,• Conseil du patrimoine de Montréal «,fr
