,speaker,sentence,lang
0,LETTER,"7 JANVIER 2010 1751, rue Richardson, bureau 6509, Montréal (Québec) H3K 1G6  Tél.: (514) 931-5737  Fax: (514) 931-4317 www.resomtl.comIntroduction :",fr
1,LETTER,Le RESO est d’abord un mouvement de participation de tout un milieu à son développement.,fr
2,LETTER,"À la base de son existence, il y a le défi de la démocratie et de la participation réelle de la communauté aux orientations, aux actions et aux projets de développement du Sud-Ouest.",fr
3,LETTER,Le RESO s’est donné une structure qui permet cette participation et qui est représentative de la communauté du Sud-Ouest.,fr
4,LETTER,Le conseil d’administration oriente les actions qui sont entreprises par le RESO.,fr
5,LETTER,"Ses membres représentent les principaux acteurs socioéconomiques du Sud-Ouest : entreprises, institutions, organismes communautaires et syndicats.",fr
6,LETTER,Les participants aux activités en employabilité du RESO y ont aussi un représentant ainsi que l’arrondissement du Sud-Ouest.,fr
7,LETTER,Dans le but d’élire leurs représentants au conseil d’administration et de formuler des recommandations au conseil d’administration,fr
8,LETTER,", les principaux intervenants socioéconomiques du Sud-Ouest et membres du RESO se réunissent au moins une fois par année en dix collèges sectoriels électoraux.",fr
9,LETTER,Entreprises manufacturières  Entreprises de services et de la nouvelle économie  Commerces et travailleurs autonomes  Institutions financières  Syndicats  Entreprises d’économie sociale,fr
10,LETTER, Organismes communautaires  Institutions de la santé et de l’éducation ,fr
11,LETTER,Participants aux activités du RESO Tous les membres du RESO et les résidants du Sud-Ouest sont invités à participer à l’assemblée générale annuelle.,fr
12,LETTER,Les préoccupations exprimées lors de cette rencontre sont transmises au conseil d’administration.,fr
13,LETTER,"Le RESO s'est donné la mission suivante : «Regrouper la communauté du Sud-Ouest autour de stratégies et de projets de développement pour qu'elle participe activement à bâtir son avenir économique, social et culturel dans une perspective durable et équitable en misant sur l'engagement et la concertation de la population et des acteurs sociaux et économiques.",fr
14,LETTER,"Le RESO intervient dans l'arrondissement du Sud-Ouest, c'est-à-dire dans les quartiers Saint-Henri, Petite-Bourgogne, Pointe-Saint-Charles, Ville-Émard, Côte-Saint-Paul et Griffintown.",fr
15,LETTER,"Pour réaliser sa mission, le RESO offre des services :    aux personnes sans emploi aux futurs entrepreneurs aux entreprises du Sud-Ouest 2 Mémoire du RESO sur le projet Quartier Bonaventure",fr
16,LETTER, aux jeunes adultes (Carrefour jeunesse emploi du Sud-Ouest de Montréal) aux organismes et entreprises communautaires,fr
17,LETTER,Les partenaires publics qui soutiennent la réalisation de la mission du RESO sont :  Développement économique,fr
18,LETTER,"La Ville de Montréal et l’Arrondissement du Sud-Ouest Le projet et le promoteur Créée en 2002 à l’occasion du Sommet de Montréal, la Société du Havre s’est vue confier la mission de proposer un plan d’intervention concerté pour le réaménagement et la mise en valeur d’un vaste territoire de 10 km2 localisé grosso modo entre le pont Champlain à l’ouest, le pont Jacques-Cartier à l’est, les rues Notre-Dame et Viger au nord et le fleuve Saint-Laurent au sud.",fr
19,LETTER,Les grands objectifs de ce réaménagement vise à redonner accès au fleuve aux Montréalais et à favoriser un développement urbain mixte et durable permettant de reconnecter cet environnement plus ou moins déstructuré au centre de la Ville.,fr
20,LETTER,"Au cœur de ce territoire, l’autoroute Bonaventure constitue la principale infrastructure à réaménager afin de créer des conditions favorables à ce développement urbain.",fr
21,LETTER,Le projet soumis à la consultation par la Société du Havre est donc la première étape du réaménagement de l’autoroute Bonaventure dans la partie appartenant à la ville de Montréal qui est située entre la rue de la Commune au sud et la rue Saint-Jacques au nord.,fr
