,speaker,sentence,lang
0,LETTER,RÉAMÉNAGEMENT DE L’AUTOROUTE BONAVENTURE (PHASE 1),en
1,LETTER,POUR CONSTRUIRE LE COULOIR DALHOUSIE À 114 MILLIONS $ «,en
2,LETTER,"La rue Bonaventure, on en a parlé tantôt.",fr
3,LETTER,"Pour y arriver, c’est qu’il y aurait tellement peu de différence",fr
4,LETTER,avec la solution actuelle que vraiment l’intérêt,fr
5,LETTER,a été de ne plus retenir cette solution,fr
6,LETTER,"‐là puisqu’on gardait les véhicules, en réalité, dans la circulation automobile, donc, sans trop trop d’avantage.",fr
7,LETTER,"» •Réjean Durocher, Société du HavreC’est donc dire que les montréalais, suivant l’hypothèse de la Société du Havre et de ses amis, auront à débourser 114 millions pour économiser 30 secondes à nos amis de la rive‐sud et cela si on se fit aux propos tenus par M. Carette de la ville de Montréal.",fr
8,LETTER,La Société du Havre ne s’est pas intéressé à comparer l’effet du transport en commun sur l’autoroute Bonaventure actuelle et celle projetée mais ne s’est intéressé qu’uniquement à comparer l’autoroute Bonaventure actuelle avec le couloir Dalhousie.,fr
9,LETTER,Donc elle ne peut affirmer si la future autoroute Bonaventure ne fera pas économiser les mêmes 30 secondes .Il,fr
10,LETTER,n’y qu’a Montréal que l’on peut rêver d’un projet nécessitant un taux de densité de population au kilomètre carré comparable à Hong Kong (25 350 habitants au km2 vs 2000 pour Montréal) pour proposer un projet tel que celui de l’autoroute Bonaventure.,fr
11,LETTER,Comment justifier autrement un projet immobilier localisé entre deux autoroutes ?,fr
12,LETTER,"Le parc, l’ilot vert, que la Société du Havre nous propose est possiblement une répétition du Square Vigor, faisant face à l’hôtel de ville et ceinturé des rue Viger, St‐Denis, St‐Antoine et St‐Hubert, ou encore une répétition du Square Émilie‐Gamelin.",fr
13,LETTER,Ces lieux sont très prisés des itinérants et des toxicomanes.,fr
14,LETTER,"Pour une entré de ville qui soit percutante, s’il m’est permis d’utiliser le vocabulaire de Société du Havre, cela serait très percutant en effet le soir venu.",fr
15,LETTER,"La Société du Havre ne mentionne pas explicitement dans sa documentation, de même qu’aux résidents du Lowney, que l’horaire des autobus dans le couloir",fr
16,LETTER,Dalhousie sera de 5 am à minuit.,fr
17,LETTER,"minuit Donc aux résidents ayant pignon sur la rue Saint‐Maurice, ceux‐ci seront exposé à 20 heures par jour au bruit et à la pollution des autobus de la rive‐sud.",fr
18,LETTER,C’est dire du peu d’intérêt que peuvent porter les promoteurs de ce projet aux résidents du quartier.,fr
19,LETTER,"Les piétons de Griffintown Comment expliquer alors aux résidents du quartier que le chantier no 16, 16 du plan de transport de la ville de Montréal, qui s’intitule : Redonner aux résidents des quartiers montréalais la qualité de vie qui leur revient On y parle de mesures visant à apaiser la circulation, améliorer la sécurité et redonner aux résidents de ces quartiers la quiétude et la qualité de vie qui leur revient.",fr
20,LETTER,Dalhousie fait dans le sens contraire et pourtant M. Carette de la ville de Montréal le défend.,fr
21,LETTER,Plan de transport de la ville de Montréal intitulé :,fr
22,LETTER,"Le plan de transport, un choix de société.",fr
23,LETTER,M. Carette de la ville de Montréal s’exprimant le 1er décembre dernier nous disait «,fr
24,LETTER,"Au niveau du plan de transport, nous avons adopté une charte des piétons.",fr
25,LETTER,tons Cette charte de piétons s’assure de respecter et de s’assurer de l’intégration de l’ensemble des aménagements pour favoriser la marche à pied et on doit appliquer également cette charte de piétons dans le projet Bonaventure.,fr
26,LETTER,"Elle est où cette charte sachant qu’un piéton se doit de traverser les rues Notre‐Dame d’un coté, de L’Inspecteur de l’autre et finalement Saint‐Maurice, un couloir ou circulent 1 900 autobus, soit 1 autobus au 17 secondes à l’heure de pointe, afin de rentrer chez lui ?",fr
27,LETTER,vivant s’entend!Qu’en est‐il encore lorsque M. Réjean Durocher dit : «,fr
28,LETTER,"Monsieur Carette l’a démontré tantôt, on passe directement en dessous de près de 700 résidences qui sont les gens de la Lowney.",fr
29,LETTER,"On est vraiment dans une zone de conflit avec la circulation automobile, les commerces, les résidents, des difficultés pour une petite rue comme celle‐là (L’Inspecteur).",fr
30,LETTER,"Alors, cette solution aussi également a été rejetée.",fr
31,LETTER,"» Donc si on suit le raisonnement de ce professionnel c’est que si ce n’est pas acceptable sur de L’Inspecteur cela ne doit pas l’être sur Saint‐Maurice, (à 7 mètres des résidents) sidents à savoir de l’autre coté du même immeuble!",fr
32,LETTER,Mais il défend tout le contraire.,fr
33,LETTER,Voilà une contradiction majeure qui tend encore une fois à prouver que le projet du couloir Dalhousie est mal bouclé et inacceptable.,fr
34,LETTER,•Soirée d’information du 1er décembre 2009Loin des gens !,fr
35,LETTER,Une autre raison de rejeter ce projet de couloir Dalhousie c’est ce commentaire de M. Durocher : « Et c’est là qu’est enfin arrivée la solution Dalhousie.,fr
36,LETTER,"Dalhousie actuellement est en ligne directe, ou presque en ligne directe à part",fr
37,LETTER,le petit détour ici via la rue Saint‐Maurice pour rejoindre le terminus centre‐ville,fr
38,LETTER,"Si on regarde actuellement les photos, on s’aperçoit que le long de cette rue‐là, il y a très peu d’entrées charretières",fr
39,LETTER,", il n’y a pratiquement pas d’usages de part et d’autre.",fr
40,LETTER,"autre C'est une rue qui est vraiment près du corridor ferroviaire, donc, éventuellement si on veut faire de transport modal avec tout autre niveau, ça devient intéressant.",fr
41,LETTER,"Et on s’éloigne effectivement de la rue de l’Inspecteur, donc, des gens.",fr
42,LETTER,"» Oui on s’éloigne de 1 mètre et on y retrouve un édifice donnant accès à plus de 300 condominiums!Et on s’éloigne effectivement de la rue de l’Inspecteur, donc, des gens !",fr
43,LETTER,Voici le petit détour sur la rue St‐Maurice de M. Durocher où il n’y a pas d’entrée !,fr
44,LETTER,"Selon le document de la ville de Montréal intitulé : Exigences en matière d’études d’impact sur les déplacements, version 6.1, fév.",fr
45,LETTER,"2009, il appert qu’il existe un conflit majeur quant à la gestion du trafic urbain au coin des rue Saint‐Maurice et de L’Inspecteur.",fr
46,LETTER,En effet comment concilier les piétons retournant à leur domicile du Lowney et le corridor autobus Dalhousie.,fr
47,LETTER,"Nous avons des autobus pressées d’arriver à leur destination, question de rencontrer leur standard et des résidents montréalais désirant se rendre en sécurité à leur domicile.",fr
48,LETTER,Le projet du corridor Dalhousie doit être abandonné.,fr
