,speaker,sentence,lang
0,LETTER,"RÉSUMÉ Tel que présenté, le projet de réaménagement de la SHM semble se fonder sur de bonnes prémisses, puisqu'il annonce la Phase 1 de la démolition de l'autoroute Bonaventure, entre les rues Notre-Dame et Wellington.",fr
1,LETTER,"Si c'était vrai, si l'intention était vraiment de faire disparaître l'autoroute pour mettre en place les conditions de développement d'un nouveau quartier au pied du centre-ville, ce serait de bon augure pour Montréal.",fr
2,LETTER,Le mémoire que nous présentons démontre qu'il ne s'agit toutefois là que d'une illusion.,fr
3,LETTER,"Car en fait, au-delà des subtilités de langage et des changements de forme, le projet de la SHM vise à pérenniser la capacité autoroutière dans l'axe Bonaventure, à un coût pouvant aujourd'hui être estimé à plus d'un milliard de dollars.",fr
4,LETTER,Ce projet n'est donc rien d'autre que la version contemporaine d'une obsession d'une autre époque : fonder coûte que coûte le développement de la ville sur des infrastructures routières majeures.,fr
5,LETTER,"Cette Phase 1 de la démolition-reconstruction de l'autoroute Bonaventure, jumelée à la création du corridor Dalhousie, représentent un investissement public de 220 M$. Quand d'une part on voit ce qui se fait ailleurs dans le monde dans des contextes similaires, quand d'autre part on prend la mesure de ce que pourrait devenir un territoire aussi riche de potentiel que l'est la frange sud du centre-ville de Montréal, force est de constater qu'il s'agirait d'une bien mauvaise allocation de fonds publics.",fr
6,LETTER,"En clair, le projet SHM est un piètre projet.",fr
7,LETTER,"Par bonheur, il n'est pas trop tard pour renverser la vapeur.",fr
8,LETTER,Nous proposons dans notre mémoire les premiers éléments de ce qui pourrait devenir un véritable projet d’aménagement et de développement urbain pour le sud du centre-ville de Montréal.,fr
9,LETTER,Les trois propositions que nous présentons dans ce document sont interreliées et font partie d’une seule et même solution que nous croyons rentable pour les Montréalaises et Montréalais.,fr
10,LETTER,Les voici en résumé : LA SOLUTION PRÉCONISÉE PAR PROJET,fr
11,LETTER,Volet 1 : Volet 2 : Volet 3 : Procéder à la démolition pure et simple de l'autoroute Bonaventure ;,fr
12,LETTER,Opter pour une solution transport collectif digne du XXIe siècle : un corridor tramway via le pont Victoria et le boulevard Taschereau ;,fr
13,LETTER,Renoncer à l'approche affairiste de la Ville au profit d'un véritable projet d'aménagement urbain.,fr
14,LETTER,Mémoire présenté à l’Oﬃce de consultation publique de Montréal Réaménagement de l’autoroute Bonaventure,fr
15,LETTER,sur le réaménagement de l’autoroute Bonaventure 1Réaménagement de l’autoroute Bonaventure,fr
16,LETTER,"Montréal est un parti municipal qui propose aux Montréalaises et Montréalais de se réunir autour d’un projet de développement urbain durable, équitable et structurant pour l’avenir de la métropole.",fr
17,LETTER,La place de l’automobile en ville et le développement des transports collectifs font,fr
18,LETTER,Quartier Bonaventure » de la Société du Havre de Montréal (SHM) chevauche deux arrondissements : Ville-Marie et Le Sud-Ouest.,fr
19,LETTER,Montréal compte un élu dans chacun de ces arrondissements.,fr
20,LETTER,Équipe de rédaction: Présentation: Carole Dupuis Pierre mainville,fr
21,LETTER,"Procéder à la démolition pure et simple de l’autoroute Bonaventure 3 Proposition 2 : Passer immédiatement à une solution transport collectif digne du XXIe siècle, à savoir un corridor tramway via le pont 6 Victoria et le boulevard Taschereau Proposition 3 : Renoncer à l’approche aﬀairiste de la Ville au proﬁt d’un véritable projet 10 d’aménagement urbain L’illusion de la rentabilité 10 L’approche aﬀairiste de la Ville 12 Pour un véritable projet d’aménagement urbain 12 Conclusion 13",fr
22,LETTER,De la façon dont il est présenté,fr
23,LETTER,", le projet de réaménagement de la SHM semble se fonder sur de bonnes prémisses, puisqu’il annonce la Phase 1 de la démolition de l’autoroute Bonaventure, entre les rues Notre-Dame et Wellington.",fr
24,LETTER,"Si c’était vrai, si l’intention était vraiment de faire disparaître l’autoroute pour mettre en place les conditions de développement d’un nouveau quartier au pied du centre-ville, ce serait de bon augure pour Montréal.",fr
25,LETTER,Nous démontrerons dans ce mémoire qu’il ne s’agit toutefois là que d’une illusion.,fr
26,LETTER,"Car en fait, au-delà des subtilités de langage et des changements de forme, le projet vise à pérenniser une capacité autoroutière dans l’axe Bonaventure, à un coût pouvant aujourd’hui être estimé à plus d’un milliard de dollars.",fr
27,LETTER,Le projet 2 SHM n’est donc que la version contemporaine d’une obsession d’une autre époque : fonder coûte que coûte le développement de la ville sur des infrastructures routières majeures.,fr
28,LETTER,"Ce premier choix fondamental explique la timidité, voire le caractère rétrograde, du volet transport collectif du projet SHM.",fr
29,LETTER,"On conﬁrme en eﬀet qu’aussi loin qu’on puisse l’envisager, l’autobus sera le mode qui permettra d’assurer la desserte en transport collectif entre le centre-ville et la Rive-Sud.",fr
30,LETTER,"Pour ce qui est des impacts négatifs qui en résultent, on a imaginé cette solution bancale consistant à les dissimuler quelques centaines de mètres à l’ouest de l’axe actuel, fonction qui est dévolue à ce fameux corridor Dalhousie.",fr
