,speaker,sentence,lang
0,LETTER,Quartier Bonaventure Mémoire Pour une vue d’ensemble Présenté,fr
1,LETTER,par Habiter Ville-Marie En collaboration avec Table pour l’aménagement du Centre-Sud & RAYSIDEARCHITECTEMÉMOIRE QUARTIER BONAVENTURE POUR UNE VUE D’ENSEMBLE 1-0 JANVIER 2010,fr
2,LETTER,1 INTRODUCTION 1-1 2 POUR UNE VUE D’ENSEMBLE 2-1 3 CONTEXTE 3-1 4 ENJEUX 4-1 4.1 L’arrondissement Ville-Marie : une mixité sociale à maintenir 4-1 4.2 La mixité sociale et la Stratégie d’inclusion de logements abordables 4-3 4.3,fr
3,LETTER,La famille : au cœur de la mixité sociale et de la mixité des fonctions 4-4 4.4,fr
4,LETTER,Axe de transport et milieu de vie 4-5 4.5,fr
5,LETTER,Animer le milieu de vie par des services de proximité 4-6 4.6,fr
6,LETTER,Pour une véritable concertation des acteurs du milieu 4-7 5 RECOMMANDATIONS 5-1 6 CARTES 6-1 Grand Centre-Ville 6-1 Grands projets dans le secteur du Quartier Bonaventure 6-2 Grands projets -Description 6-3 Pression,fr
7,LETTER,- Influences 6-4 Développement et mixité 6-5 Transports 6-6 Services 6-7 7 PHOTOS 7-1 8 ANNEXES 8-1 I,fr
8,LETTER,Plan d’urbanisme de la Ville de Montréal –,fr
9,LETTER,Plan d’urbanisme de la Ville de Montréal – Arrondissement Sud-Ouest 8-10MÉMOIRE QUARTIER BONAVENTURE POUR UNE VUE D’ENSEMBLE 1-1 JANVIER 2010 1.,fr
10,LETTER,"Habiter Ville-Marie, sa mission, ses membres",fr
11,LETTER,Nous souhaitons d’abord remercier les membres de l’Office de consultation publique de Montréal de nous offrir l’occasion de contribuer à sa réflexion et à son analyse concernant le projet de réaménagement de l’autoroute Bonaventure.,fr
12,LETTER,Le mémoire que nous vous présentons est le résultat d’une consultation des groupes membres de notre table de concertation.,fr
13,LETTER,Il s’inscrit dans la réflexion des différents partenaires de notre concertation sur les grands développements immobiliers privés et publics prévus dans le cœur de la métropole au cours des deux prochaines décennies.,fr
14,LETTER,"Habiter Ville-Marie (HVM) est une concertation de regroupements, de tables de concertation ainsi que d’organismes communautaires et d’organismes publics, qui a pour objectif le développement d’un centre-ville habité, mixte et solidaire.",fr
15,LETTER,"La mission première de notre concertation est la promotion et le développement de logements sociaux et communautaires dans l’arrondissement de Ville-Marie afin de répondre aux besoins de la population locale, avec une attention toute particulière pour les personnes seules et les familles à faible ou modeste revenu.",fr
16,LETTER,"Le logement social et communautaire constitue, selon nous, un formidable outil pour favoriser la mixité sociale et assurer la présence de familles dans les quartiers centraux.",fr
17,LETTER,"Habiter Ville-Marie est composé de groupes intervenant en logement social et communautaire dans l’arrondissement, soit Atelier habitation Montréal, le Comité logement Centre-Sud, le Groupe CDH, la Fédération des coopératives d’habitation intermunicipale du Montréal métropolitain (FÉCHIMM), la Fédération des OSBL en habitation de Montréal (FOHM) et InterLoge Centre-Sud.",fr
18,LETTER,"Notre concertation rassemble de plus les regroupements ou tables de concertation suivantes : la CDC du Centre-Sud, la Table pour l’aménagement du Centre-Sud, la Table de concertation du Faubourg St-Laurent, la CDEC Centre-Sud/Plateau Mont-Royal et le Réseau Habitation Femmes.",fr
19,LETTER,"Le Centre Dollard-Cormier- IUD, le Y des femmes de Montréal et le CSSS de la Montagne sont également des membres actifs.",fr
20,LETTER,Habiter Ville-Marie est coordonnée par le Comité logement Centre-Sud et bénéficie de l’appui du CSSS Jeanne-Mance qui met à sa disposition un organisateur communautaire pour appuyer la réalisation de ses activités.,fr
21,LETTER,"En matière de recherche et développement, Habiter Ville-Marie a collaboré à la réalisation d’une étude sur la situation du logement au centre-ville, pilotée par le Comité logement Centre-Sud et le Département d’études urbaines et touristiques de l’UQAM.",fr
22,LETTER,"Habiter Ville-Marie travaille de plus à l’élaboration d’un plan de développement du logement social et communautaire pour l’arrondissement de Ville-Marie, en collaboration avec différents partenaires, dont l’arrondissement de Ville-Marie.",fr
23,LETTER,"Enfin, plusieurs de nos membres travaillent à la création d’un fonds d’acquisition pour la sauvegarde des maisons de chambres dans les quartiers centraux afin de permettre à des populations marginalisées, dont celles à risque d’itinérance, de se maintenir en logement.",fr
24,LETTER,"Habiter Ville-Marie reconnaît et apprécie la volonté de développement des décideurs politiques et de grands promoteurs privés, axée sur des projets d’envergure au centre-ville et à proximité.",fr
25,LETTER,"Ville-Marie considère toutefois que l’enthousiasme que ces projets suscitent doit être balisé par une vision et une planification d’ensemble, dans le but d’en évaluer la faisabilité, en démontrer la pertinence, en mesurer les impacts positifs ou négatifs sur les populations locales et en planifier le phasage.",fr
26,LETTER,Une telle vision contribuerait à soutenir les démarches de la Ville de Montréal pour associer les différents paliers de gouvernement à la réalisation de ces projets.,fr
27,LETTER,"Pour les membres d’Habiter Ville-Marie, la Ville de Montréal est la mieux placée pour assumer le leadership de ce dossier et veiller à l’élaboration d’une vision qui tient compte autant des enjeux sociaux qu’économiques.",fr
28,LETTER,"Une telle vision pour le centre-ville doit être élaborée en s’appuyant sur le plan d’urbanisme, la Stratégie d’inclusion de logements abordables dans les nouveaux projets résidentiels et la Politique familiale de la Ville de Montréal, de manière à favoriser un développement harmonieux et intégré du centre-ville et des zones limitrophes.",fr
29,LETTER,"Habiter Ville-Marie tient à souligner que, dans le cadre des grands projets, la mise en œuvre de la Stratégie d’inclusion de la Ville de Montréal ne peut se faire qu’en considérant l’ensemble des terrains disponibles et non îlot par îlot.",fr
30,LETTER,"Le leadership de la Ville de Montréal est d’autant plus nécessaire que le projet de réaménagement de l’autoroute Bonaventure touche deux arrondissements, soit ceux de Ville-Marie et du Sud-Ouest.",fr
31,LETTER,Le projet de réaménagement de l’autoroute Bonaventure est l’un des projets majeurs qui marqueront le paysage et la dynamique du centre-ville et des quartiers adjacents.,fr
32,LETTER,"De fait, il s’inscrit dans un ensemble de grands projets stimulants et porteurs de promesses de développement social, économique et culturel : Griffintown, le Bassin du Nouveau Havre (Tri postal), le secteur de la gare Windsor, les ateliers ferroviaires du CN, etc.",fr
33,LETTER,"Qu’ils soient institutionnels ou privés, ces projets représentent plusieurs milliards de dollars en investissement pour le cœur de la ville.",fr
34,LETTER,"Habiter Ville-Marie et les partenaires signataires de ce mémoire sont enthousiastes à cet égard dans la mesure où ces projets servent de levier pour améliorer le cadre et les conditions de vie des populations du territoire, en plus de favoriser le rayonnement et le développement de la métropole.",fr
35,LETTER,UNE MIXITÉ SOCIALE À MAINTENIR Un portrait de la population de Ville-Marie démontre les très grandes disparités qui existent entre les quartiers de l’arrondissement.,fr
36,LETTER,"Ville-Marie compte 74 832 habitants, soit 7,2% de la population de la Ville de Montréal.",fr
37,LETTER,"Sainte-Marie, Saint-Jacques, le Faubourg Saint-Laurent, Peter McGill et le VieuxMontréal.",fr
38,LETTER,"De fortes disparités caractérisent ces quartiers, que ce soit en termes de revenu, de niveau de scolarité, de taux d’effort pour le logement, de pourcentage de familles monoparentales et de pourcentage des ménages composés d’une seule personne.",fr
39,LETTER,sur la situation des ménages dans Ville-Marie,fr
40,LETTER,Taux d’effort supérieur à 30% Familles avec enfant monoparentale,fr
41,LETTER,"Sainte-Marie 15 288$ 18,9% 41,6% 52,7% 50% St-Jacques 16 441$ 30,1% 38% 23,9% 55,3%",fr
42,LETTER,"Faubourg Saint-Laurent 15 247$ 36,5% 40,6% 22,4% 58,4% Peter",fr
43,LETTER,"23 382$ 61,6% 45,6% 12,1% 56,9% VieuxMontréal 44 337$ 64,7% 37,8% 5% 50,8% Source : Cantin Marie-Claude et Jalloul Salah, sous la supervision de Winnie Frohn,",fr
