,speaker,sentence,lang
0,LETTER,Réaménagement de l’autoroute Bonaventure (Phase 1) Mémoire DE PAUL,fr
1,LETTER,Rés 514-634-6615 Cellulaire : 514-984-2234 Télécopieur: 514-634-0704 www.pabeco.com 4 janvier 2010QUARTIER BONAVENTURE,fr
2,LETTER,Réaménagement de l’autoroute Bonaventure (Phase 1),fr
3,LETTER,"Membres de la Commission, je vous remercie de m’offrir la possibilité de vous présenter mes réflexions et suggestions sur la réalisation du projet de réaménagement de l’autoroute Bonaventure Depuis plusieurs années, j’œuvre dans le domaine des transports, principalement en signalisation, circulation, sécurité routière, et depuis les dernières années, j’ai présenté mes réflexions sur divers projets.",fr
4,LETTER,En lien avec le présent projet est la nécessité de l’inclure dans une réflexion plus large du plan de transport pour la région de Montréal.,fr
5,LETTER,"En 2007, deux annonces ont été faites, soit : Le plan de Transport de la ville de Montréal le17 mai 2007 et la réfection de l’échangeur Turcot le 29 juin 2007.",fr
6,LETTER,Aucun ne fait mention de l’autre ;,fr
7,LETTER,aucune relation entre les deux projets !,fr
8,LETTER,Et on parle de réaménagement majeur et de plan pour l’avenir.,fr
9,LETTER,Un peu de recul avant de revenir au projet Bonaventure.,fr
10,LETTER,"En 2005 lors d’une séance du conseil de l’arrondissement de Lachine, je mentionnais qu’avec tous les développements il faudrait s’assurer de garder un corridor pour un éventuel métro de surface vers le centre-ville.",fr
11,LETTER,"Car depuis le moratoire sur le prolongement du métro de 1976, il n’y avait pas de plan pour le métro vers cette partie de l’île.",fr
12,LETTER,"Suite à une réponse positive de corridor conservé, en 2006 je proposais à l’arrondissement de Lachine de faire une étude de faisabilité pour ce mode de transport en commun vers le centre-ville.",fr
13,LETTER,En mai 2007 nous avons eu le mandat.,fr
14,LETTER,Notre étude de faisabilité fut présentée lors des audiences sur le plan de transport.,fr
15,LETTER,On retrouve le rapport sur le lien :,fr
16,LETTER,"http://ville.montreal.qc.ca/pls/portal/docs/page/arr_lach_fr/media/documents/memoire_arr_lachine.pdf Quelques jours après, le plan de transport de la ville de Montréal et la réfection de l’échangeur Turcot, furent annoncés.",fr
17,LETTER,Lors des audiences sur le plan de transport l’arrondissement de Lachine a vu l’opportunité de présenter notre deuxième étude (Projet pilote de Tram-train reliant Lachine et le centre-ville de Montréal) comme mémoire en temps que mesure de mitigation pour le réaménagement de l’échangeur Turcot.,fr
18,LETTER,Cette mesure ferait partie d’un plan de transfert modal pour ce secteur de la ville de Montréal qui n’a pas de service de métro.,fr
19,LETTER,"Voir le lien : http://www.bape.gouv.qc.ca/sections/mandats/Complexe_Turcot/documents/DM48.pdf Dans autres deux projets, on voit que le tramway de la boucle du centre-ville passe à quelques mètres des voies ferrées qui traversent le pont Victoria.",fr
20,LETTER,Le plan de l’AMT pour l’aménagement d’un centre d’entretien pour les trains de banlieue passe près de l’autre projet de transport en commun lourd dans ce secteur.,fr
21,LETTER,"Cependant, ces deux projets n’ont pas été étudiés en complémentarité.",fr
22,LETTER,Mémoire de Paul Bourque PABECO Inc.,fr
23,LETTER,Réaménagement de l’autoroute Bonaventure (Phase 1) Mémoire de Paul Bourque PABECO Inc.,fr
24,LETTER,Réaménagement de l’autoroute Bonaventure (,fr
25,LETTER,Il y avait aussi un autre projet dans ce secteur avec son plan.,fr
26,LETTER,"Avec toutes les annonces faites sur les divers projets de transport en commun dans la ville de Montréal depuis quelques années, et suite à plusieurs rencontres et discussions.",fr
27,LETTER,"Notre réflexion nous dirigea vers la possibilité de créer un réseau de tramway de surface, ou métro de surface en complément aux divers réseaux existants.",fr
28,LETTER,"Nous avons organisé un déjeuner causerie en Août 2008 sur la possible relance du tramway sur le pont Victoria, qui ferait continuer le Tramway de la boucle du centre-ville vers la rive Sud.",fr
29,LETTER,"Donc un réseau moderne, efficace maintenant au lieu de peut-être plus tard !",fr
30,LETTER,Voici cette carte montrant la possibilité d’un réseau de tramway.,fr
31,LETTER,Cartes (1 et 2) Mémoire de Paul Bourque PABECO Inc.,fr
32,LETTER,Réaménagement de l’autoroute Bonaventure (,fr
33,LETTER,Réseau Tram-train axe Est-Ouest partie Sud de Montréal,fr
34,LETTER,En rouge tracé de Tram-train / tramway.,fr
35,LETTER,En rose BRT / tramway Mémoire de Paul Bourque PABECO Inc.,fr
36,LETTER,Réaménagement de l’autoroute Bonaventure (Phase 1),fr
37,LETTER,"Avant de poursuivre, je voudrais vous rapporter le verbatim dans le rapport http://www2.ville.montreal.qc.ca/ocpm/pdf/P42/6d.pdf du 2 Décembre 2009.",fr
38,LETTER,"À la ligne 1840 on cite : J’appellerais monsieur Paul Bourque,.",fr
39,LETTER,"N’étant pas présent, mon intervention envoyée par courriel n’a pas été déposée.",fr
40,LETTER,Par contre M. Pierre Brisset qui est intervenu plus tard a mentionné mon propos et voici un extrait des lignes 1964 à 2055 de l’échange entre MM. Brisset et Veilleux sur l’utilisation du pont Victoria pour les Tramways.,fr
41,LETTER,"M. Veilleux répond : Lorsqu’il y a eu l’étude du SLR A-10, du projet du SLR A-10, dans l’étude de justification qui avait été faite à l’époque, il y avait différentes solutions qui avaient été regardées, dont l’utilisation du pont Victoria à des fins de transport collectif plus intensives et le projet n’avait pas été retenu, à l’avantage du projet du SLR qui a été retenu, celui du 2005 SLR A-10.",fr
42,LETTER,"Une des raisons majeures, c’est la difficulté d’entrer en compétition avec le transport des marchandises qui a priorité.",fr
43,LETTER,L’option d’utiliser une des voies de circulation du Pont Victoria pour faire traverser un tramway vers la Rive Sud n’a pas fait partie de toutes les études récentes!,fr
44,LETTER,On ne parle pas des mêmes rails.,fr
45,LETTER,La proposition que nous suggérons est de remplacer les voies de circulation pour automobiles pour le tramway.,fr
46,LETTER,Cette possibilité n’a pas été évaluée dans tous les scénarios.,fr
47,LETTER,Il ne faudrait pas dire plus tard ‘’,fr
48,LETTER,En 1989 on a décidé de transférer les vols à Dorval au lieu de Mirabel.,fr
49,LETTER,On disait que les coûts de prolongement de l’autoroute 13 et de construction d’un TC rapide qui aurait coûté 400MS étaient trop élevés et qu’on ‘’tuerait Dorval’’,fr
50,LETTER,On est rendu à des dépenses et projets de + de 2G$ pour Dorval et les problèmes d’avenir ne sont pas réglés.,fr
51,LETTER,"Vols de nuit, capacité, expansion )",fr
52,LETTER,Présentement il y a des coûts estimés d’avant projets pour plusieurs projets Projet Boucle du centre-ville / Côte-des-Neiges SRB sur Pie IX,fr
53,LETTER,SRB sur l’autoroute/ boulevard urbain,fr
54,LETTER,Centre d’entretien de l’AMT à Pointe-Saint-Charles,fr
55,LETTER,Coût 750M$ 150 @ 200M$ 800M$?,en
56,LETTER,Lien #6 #7 #2 #3 #5 Des coûts de plus de 4G$,fr
57,LETTER,Mémoire de Paul Bourque PABECO Inc.,fr
58,LETTER,Page 6 de 9 #1QUARTIER BONAVENTURE,fr
59,LETTER,Réaménagement de l’autoroute Bonaventure (Phase 1),fr
60,LETTER,"Pour les projets Bonaventure, PIE-IX, Notre-Dame et Turcot, on propose des voies réservées pour autobus (SRB) Tous ces projets prévoient un possible changement à des réseaux de tramway pour l’avenir.",fr
61,LETTER,"Par contre, on n’en a pas évalué les coûts.",fr
62,LETTER,Il faudrait peut-être connaître les coûts des divers scénarios possibles avant de décider que les voies SRB sont les seules solutions.,fr
