,speaker,sentence,lang
0,LETTER,Office de consultation publique de Montréal,fr
1,LETTER,Consultation publique sur le projet «,fr
2,LETTER,– phase 1 » Quartier Bonaventure : le « Nouveau,fr
3,LETTER,Montréal » par et pour qui ?,fr
4,LETTER,"Mémoire déposé par POPIR-Comité Logement 4017, Notre-Dame Ouest Montréal (Qc), H4C 1R3",fr
5,LETTER,Page 1 de 8Réaménagement de l’autoroute,fr
6,LETTER,Page 2 de 8Réaménagement de l’autoroute,fr
7,LETTER,"-Comité Logement et de son intérêt pour le projet de réaménagement de l’autoroute Bonaventure Situé en plein cœur de Saint-Henri, le POPIR",fr
8,LETTER,"-Comité Logement a pour mission de défendre les droits et les intérêts des locataires du Sud-Ouest (Saint-Henri, Petite Bourgogne, Ville Émard et Côte –Saint-Paul) afin de s’assurer que ces derniers restent dans leur logement, dans leur quartier et ce, dans des conditions décentes (coût des loyers, état des logements et qualité de vie, incluant l’environnement urbain et social).",fr
9,LETTER,-Comité Logement compte plus de 150 membres actifs mais offre ses services à plusieurs centaines de personnes chaque année.,fr
10,LETTER,"Entre le 1er avril 2008 et le 31 mars 2009, le POPIR-Comité Logement a répondu aux demandes de près de 1 000 personnes différentes dont près d’une centaine de la Petite Bourgogne.",fr
11,LETTER,"Finalement, le POPIR-Comité",fr
12,LETTER,Logement est membre de la Coalition de la PetiteBourgogne.,fr
13,LETTER,"Il y est impliqué pour faciliter le développement de logements sociaux dans ce secteur, en réponse aux besoins des locataires à faible et modeste revenus.",fr
14,LETTER,"Dans la dernière année, il a été très actif dans le développement des logements sociaux dans le Bassin du Nouveau Havre (organisation d’assemblées publiques, sélection des membres fondateurs et des futurs locataires, etc.).",fr
15,LETTER,"Les locataires de la Petite Bourgogne : des besoins impérieux Suite aux contacts réguliers qui sont entretenus avec les locataires de la PetiteBourgogne, le POPIR-Comité Logement ne peut que s’inquiéter de la place qu’ont eu ces derniers dans l’élaboration du projet de réaménagement ainsi que des impacts potentiels sur leur qualité de vie.",fr
16,LETTER,"En effet, les locataires du secteur situé à l’ouest du projet Bonaventure (PetiteBourgogne) ont des besoins impérieux en logement.",fr
17,LETTER,"Le secteur est composé de 68% de ménages locataires (2 780) dont plus du quart payait, en 2006, plus de 30% de leur revenu pour se loger.",fr
18,LETTER,"À partir d’un tel taux d’effort, les ménages ne peuvent pas répondre adéquatement aux autres besoins essentiels.",fr
19,LETTER,1 Taux d’effort des ménages,fr
20,LETTER,locataires 2006 2 945 765 26% 280 9.5% 125 4.2% 2001 2 780 755 27.2% 265 9.5% n.d.,fr
21,LETTER,1 Payent 30% et plus Nombre,fr
22,LETTER,Payent 50% et plus Nombre %,fr
23,LETTER,Payent 80% et plus Nombre,fr
24,LETTER,"Source : Statistiques Canada, données du recensement",fr
25,LETTER,Page 3 de 8Réaménagement de l’autoroute,fr
26,LETTER,On constate un certain enrichissement des ménages dans le quartier de la PetiteBourgogne.,fr
27,LETTER,Les revenus médians sont passés de 18 955$ en 2001 à 23 443$ en 2006.,fr
28,LETTER,Cet écart s’explique par l’arrivée de nouveaux résidants plus fortunés (et non par l’augmentation des revenus des résidants du quartier).,fr
29,LETTER,"D’ailleurs, le pourcentage de ceux et celles consacrant plus de la moitié de leur revenu pour se loger est resté stable entre 2001 et 2006 (9.5%).",fr
30,LETTER,"Ces derniers ont des besoins impérieux de logements plus accessibles financièrement, soit du logement social.",fr
31,LETTER,"Dans le Sud-Ouest, plus de 1 000 ménages sont inscrits sur les listes de l’Office municipal de Montréal, en attente d’un HLM.",fr
32,LETTER,"Les logements de la Petite-Bourgogne : plus chers et moins bien entretenus Comme dans tous les secteurs de Montréal, les loyers ont fortement augmenté dans le Sud-Ouest entre 2005 et 2008.",fr
33,LETTER,"Même si globalement, les loyers sont moins élevés à la Petite-Bourgogne (518$ contre 604$), nous constatons qu’ils augmentent beaucoup plus vite que dans le reste de la ville (+ 14.9% contre + 7%).",fr
