,speaker,sentence,lang
0,LETTER,"Quartier Bonaventure Présenté à l'Office de consultation publique de Montréal Mardi le 12 janvier, 2010 à 20h10Un mandat pertinent, un projet inapproprié Le Comité pour le sain redéveloppement de Griffintown est d'accord avec le mandat de la SHM : ● Démolition de l'autoroute ● Amélioration et favorisation des transports en commun ● Redéveloppement du secteur ● Mise en valeur de l'histoire et du patrimoine ●",fr
1,LETTER,Reconnection des liens latéraux entre les faubourgs Par contre,fr
2,LETTER,", la proposition actuelle ne réalise pas l'énorme potentiel de redéveloppement du secteur.",fr
3,LETTER,La proposition actuelle ne satisfait pas le mandat de la SHM.Transformation de l'autoroute Bonaventure,fr
4,LETTER,Remplacement par une autoroute de surface ou son équivalentLe,fr
5,LETTER,Corridor Dalhousie ● ● ● Son premier client (RTL),fr
6,LETTER,exprime que ça ne règlera rien L'arrondissement l'oppose complètement,fr
7,LETTER,Solution temporaire pour une solution temporaire qui demande une autre solution temporaire ● Étude de séléction invalide et inadmissible ● Période d'amortisation de plus d'un siècleLes autobus : un demi-siècle de solutions temporaires ?,fr
8,LETTER,1967 Autoroute Bonaventure 2010 50 ans 1978,fr
9,LETTER,Voie réservée à contresens sur le Pont Champlain 201x Corridor d'autobus Dalhousie 20xx,fr
10,LETTER,Réseau de transport de Longueuil : «sa mise en service ne corrigerait pas les problèmes fondamentaux de circulation entre la Rive-Sud et le terminus Centre-ville»Étude de sélection invalide,fr
11,LETTER,Groupe S.M. (2008) des sept tracés qui conseille l'axe,fr
12,LETTER,"Dalhousie est fortement biasée, peu scientifique et éronnée.",fr
13,LETTER,"Considerons l'anomalie suivante : L'axe Bonaventure emprunterait une extension de la rue Dalhousie qui n'existe pas actuellement, et ceci, dans un sens seulement (nord).",fr
14,LETTER,Tous les coûts d'aménagement ● Peu d'avantages d'une voie reservée ●,fr
15,LETTER,Le tracé qui demeurerait sur l'axe Bonaventure,fr
16,LETTER,", comme proposé par plusieurs experts, n'est meme pas consideré !",fr
17,LETTER,"Selon les critères de l'étude des sept tracés, un mega-pont ou mega-",fr
18,LETTER,"tunnel d'autobus, ou même le SLR lui-même",fr
19,LETTER,", gagnerait avec un score de 84%, comparé au 74% du Corridor Dalhousie !",fr
20,LETTER,"● Histoire et patrimoine largement ignorés ● Si les îlots demeurent vacant, le Quartier Bonaventure se réduit à un projet d'abaissement d'autoroute !",fr
21,LETTER,Une alternative qui satisfait réellement le mandat de la SHM ● ● ● ● Système léger sur rails (SLR) à la place d'un corridor d'autobus Infrastructure routière adaptée aux besoins horspointe Zonage respectant et intégrant les quartiers avoisinants Réanimation du parc historique Haymarket Square et la rue St-PaulSLR,fr
22,LETTER,L'aménagement de l'autoroute Bonaventure se divise en trois phases.,fr
23,LETTER,L'implantation d'un SLR peut également procéder par phases.,fr
24,LETTER,"● Transfert de passagers d'autobus en SLR à une gare intermodale au sud du Bassin Peel ● Extension jusqu'au Métro McGill possible, prevue et souhaitable",fr
25,LETTER,"●Avantages du SLR Système de transport moderne, efficace et électrique",fr
26,LETTER,durant et après les travaux de transformation de l'autoroute ●,fr
27,LETTER,"Permet aux autobus de transférer leurs passagers sans devoir rentrer dans un environnement urbain : économie importante de temps, ressources et argent ● Élimine le besoin et les coûts associés à l'aménagement d'un corridor d'autobus et d'un satellite du TCV ● Encourage un développement dense autour de la Gare Multimédia, le coeur du Quartier Bonaventure ●",fr
28,LETTER,"Réduction importante de pollution d'air et de bruit dans un secteur affecté ● Possibilité de s'étendre jusqu'au Métro McGill ●Infrastructure routière À part aux heures de pointe, la capacité actuelle des rues Duke et Nazareth est suffisante pour supporter la circulation, même sans l'autoroute.",fr
29,LETTER,Il faut absolument éviter de construire de la surcapacité !,fr
30,LETTER,Une entrée (déjà) percutante,fr
31,LETTER,Il suffit de d'encourager les touristes de suivre les rues Wellington et McGill en installant des pancartes.,fr
32,LETTER,Route touristiqueUrbanisme ● ● ● Gare Multimédia devient un pôle d'attraction et encourage fortement un redéveloppement dense Limiter les hauteurs aux hauteurs des secteurs avoisinants Respecter l'architecture et les matiériaux de construction typiques au quartier ●,fr
33,LETTER,Encouragement des pratiques de développement durable,fr
34,LETTER,à la trame de ruesHaymarket Square & rue St-Paul,fr
35,LETTER,"L'autoroute démolie, la poste de police déplacée et le viaduc CN ouvert aux passages, Haymarket Square peut réclamer son site historique et relier réellement Griffintown et le Faubourg des Récollets via la rue St-Paul, la plus vielle à Montréal 1914Parc Pilote : renaissance des liens entre les faubourgs Seul lien «vivant» qui rejoint les résidents des deux côtés de l'autoroute",fr
36,LETTER,Le parc doit figurer dans les plans finaux du Quartier BonaventureRésumé et conclusions,fr
37,LETTER,L'OCPM a l'obligation de corriger le projet pour qu'il puisse satisfaire entièrement le mandat de la SHM et réaliser l'énorme potentiel de redéveloppement du secteur.,fr
38,LETTER,"Pour arriver au projet que Montréal et ses citoyens méritent, il faut : Annuler le Corridor",fr
39,LETTER,Dalhousie ● Transférer le contrôle à l'AMT pour la finalisation immédiate d'un lien de rail électrique reliant (au moins) Place Bonaventure et le sud du Bassin Peel ● Limiter l'aménagement des rues Duke et Nazareth à une capacité qui satisfait les besoins hors-pointe ● Ajuster le zonage pour un développement durable et pratique qui s'intègre bien dans son voisinage ●,fr
40,LETTER,Relier les faubourgs et réanimer l'histoire du quartier en réclamant le parc Haymarket Square et en reconnectant les deux bouts de la rue St-Paul ● Garantir la protection du Parc Pilote par son inclusion dans les plans finaux ●,fr
